LAT,LONGITUDE,AREA,D1,D2,D3,D4,DIS_LAKE,DIS_MAJOR_RIVER,DIS_OCEAN,DIS_RIVER,ELEV_SRTM_PRED,MATTVEG,NEWCOUNTRYID,PREC_NEW
65,-89,3926.821,1665.068,1665.068,1665.068,1665.068,1839540,2316121,1665068,2315401,177,22,124,270.4
65,-88,4811.665,1620.697,1620.697,1620.697,1620.697,1834845,2292512,1620697,2291528,103,22,124,269.8
65,-87,1733.037,1570.269,1570.269,1570.269,1570.269,1810875,2283373,1570269,2282058,33,0,124,267.8
65,-86,4298.56,1528.69,1528.69,1528.69,1528.69,1757011,2237573,1528690,2236034,36,22,124,264.7
65,-85,2502.694,1485.223,1485.223,1485.223,1485.223,1719017,2210607,1485223,2208797,139,0,124,262
65,-84,1230.404,1441.202,1441.202,1441.202,1441.202,1700316,2205197,1441202,2203086,145,0,124,261.1
66,-117,5040.472,1253.309,1253.309,1253.309,1149.146,1149146,2246858,1253309,1833061,386,22,124,240.4
66,-116,5040.472,1293.985,1293.985,1293.985,1189.496,1189496,2251547,1293985,1842939,412,22,124,241.6
66,-115,5040.472,1335.398,1335.398,1335.398,1230.649,1230649,2257762,1335398,1854508,391,22,124,241.5
66,-114,5040.472,1377.475,1377.475,1377.475,1272.522,1272522,2265488,1377475,1867736,444,22,124,239.9
66,-113,5040.472,1420.153,1420.153,1420.153,1315.041,1315041,2274710,1420153,1882586,469,22,124,236.9
66,-112,5040.472,1463.374,1463.374,1463.374,1358.14,1358140,2285408,1463374,1899017,457,22,124,231.6
66,-111,5040.472,1507.087,1507.087,1507.087,1401.761,1401761,2297561,1507087,1916989,432,22,124,224.9
66,-110,5040.472,1551.237,1551.237,1551.237,1445.852,1445852,2311144,1551237,1936454,362,22,124,217
66,-108,4274.32,1636.172,1636.172,1636.172,1534.41,1534410,2337555,1636172,1975213,186,22,124,200.7
66,-107,5040.472,1681.322,1681.322,1681.322,1580.5,1580500,2360196,1681322,2003342,242,22,124,193.2
66,-106,5040.472,1725.562,1725.562,1725.562,1626.048,1626048,2379214,1725562,2028304,254,22,124,187.1
66,-105,5040.472,1770.18,1770.18,1770.18,1671.875,1671875,2399509,1770180,2054515,220,22,124,183.7
66,-104,5040.472,1815.141,1815.141,1815.141,1717.433,1717433,2421049,1815141,2081926,197,22,124,183.6
66,-103,5040.472,1860.416,1860.416,1860.416,1756.085,1756085,2443798,1860416,2110485,167,22,124,184.2
66,-102,5040.472,1905.976,1905.976,1905.976,1795.476,1795476,2467718,1905976,2140145,155,22,124,184.6
66,-101,5040.472,1951.797,1951.797,1951.797,1835.555,1835555,2492775,1951797,2170855,159,22,124,186.4
66,-100,5040.472,1997.855,1997.855,1997.855,1876.273,1876273,2518930,1997855,2202569,153,22,124,188.6
66,-99,5040.472,2044.13,2044.13,2044.13,1917.567,1917567,2546148,2044130,2235240,137,22,124,191.4
66,-98,5040.472,2056.98,2056.98,2056.98,1953.205,1953205,2574390,2056980,2268823,127,22,124,195
66,-97,4909.42,2011.519,2011.519,2011.519,1949.11,1949110,2602428,2011519,2302150,93,22,124,199.4
66,-96,4783.408,1964.809,1964.809,1964.809,1946.698,1946698,2603178,1964809,2337256,118,22,124,204.3
66,-95,5040.472,1918.235,1918.235,1918.235,1918.235,1948974,2574446,1918235,2374612,292,22,124,210.1
66,-94,5040.472,1871.87,1871.87,1871.87,1871.87,1949672,2544684,1871870,2411418,303,22,124,217
66,-93,5040.472,1825.45,1825.45,1825.45,1825.45,1952069,2515899,1825450,2415039,280,22,124,224.2
66,-92,5040.472,1778.976,1778.976,1778.976,1778.976,1956156,2488131,1778976,2416550,282,22,124,231.3
66,-91,5040.472,1732.449,1732.449,1732.449,1732.449,1953517,2461416,1732449,2419530,355,22,124,237.9
66,-90,5040.472,1685.871,1685.871,1685.871,1685.871,1950559,2435792,1685871,2423975,337,22,124,243.2
67,-117,4843.538,1316.708,1316.708,1316.708,1214.155,1214155,2358022,1316708,1942695,276,22,124,244.6
67,-114,3366.259,1423.644,1423.644,1423.644,1319.539,1319539,2358563,1423644,1958265,360,22,124,241
67,-113,3346.885,1464.482,1464.482,1464.482,1360.096,1360096,2367134,1464482,1972100,324,22,124,233.4
67,-112,3739.211,1507.66,1507.66,1507.66,1403.084,1403084,2381650,1507660,1991750,303,22,124,223.8
67,-111,4441.524,1553.37,1553.37,1553.37,1448.662,1448662,2401245,1553370,2016435,256,22,124,213.2
67,-110,3690.776,1590.323,1590.323,1590.323,1485.4,1485400,2405586,1590323,2026338,204,22,124,203
67,-107,4843.538,1724.273,1724.273,1724.273,1619.083,1619083,2463541,1724273,2100138,158,22,124,176.8
67,-106,4843.538,1767.715,1767.715,1767.715,1662.449,1662449,2481301,1767715,2123355,134,22,124,170.6
